"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2020; Publication Type is Chapter; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
519,pub.1130048732,10.1201/9781003079200-5,,,Late Quaternary continental environments of Argentina: Evidence from pollen analyses of the upper 2 meters of deep-sea core RC 12-241 in the Argentine Basin,,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,79-91,Closed,Chapter,"Heusser, Linda E; Wingenroth, Mónica","Heusser, Linda E (); Wingenroth, Mónica ()",,"Heusser, Linda E (); Wingenroth, Mónica ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1130048732,37 Earth Sciences; 3705 Geology; 3709 Physical Geography and Environmental Geoscience,
516,pub.1130047499,10.1201/9781003079200-8,,,"Quaternary landscape structuring and prehistoric human settlement: A test case in Central São Paulo, Brazil",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,127-132,Closed,Chapter,"Coltrinari, Lylian; Neves, Walter A","Coltrinari, Lylian (); Neves, Walter A ()",,"Coltrinari, Lylian (); Neves, Walter A ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1130047499,"43 History, Heritage and Archaeology; 4301 Archaeology",
516,pub.1130046209,10.1201/9781003079200-3,,,"Critical catalogue of some Chilean fossil vertebrates I. The Deers: Complementary considerations on Antifer (Antifer niemeyeri n.sp.), the Pleistocene Giant Deer*",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,41-50,Closed,Chapter,"Casamiquela, Rodolfo","Casamiquela, Rodolfo ()",,"Casamiquela, Rodolfo ()",1,1,,0.32,,https://app.dimensions.ai/details/publication/pub.1130046209,37 Earth Sciences; 3705 Geology,
516,pub.1130044534,10.1201/9781003079200-7,,,Pleistocene extinctions in South America,,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,115-125,Closed,Chapter,"Borrero, Luis Alberto","Borrero, Luis Alberto ()",,"Borrero, Luis Alberto ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1130044534,,
516,pub.1130040749,10.1201/9781003079200-10,,,"Prehispanic human settlement in the Llanos de Moxos, Bolivia",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,163-199,Closed,Chapter,"Dougherty, Bernard; Calandra, Horacio A","Dougherty, Bernard (); Calandra, Horacio A ()",,"Dougherty, Bernard (); Calandra, Horacio A ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1130040749,,
515,pub.1130048406,10.1201/9781003079200-11,,,"Palynology of Quaternary sediments of Lake Chascomús, Northeastern Buenos Aires Province, Argentina",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,201-221,Closed,Chapter,"Fernández, Celina A; Romero, Edgardo J","Fernández, Celina A (); Romero, Edgardo J ()",,"Fernández, Celina A (); Romero, Edgardo J ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1130048406,,
515,pub.1130047777,10.1201/9781003079200-6,,,"A thanatocenosis of continental and marine vertebrates in the Las Escobas Fm (Holocene) of Northeastern Buenos Aires Province, Argentina",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,93-113,Closed,Chapter,"Tonni, Eduardo P; Cione, Alberto L","Tonni, Eduardo P (); Cione, Alberto L ()",,"Tonni, Eduardo P (); Cione, Alberto L ()",7,2,,1.86,,https://app.dimensions.ai/details/publication/pub.1130047777,31 Biological Sciences; 3103 Ecology; 37 Earth Sciences; 3705 Geology,
515,pub.1130041337,10.1201/9781003079200-4,,,The Quaternary of Northeastern Argentina,,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,51-78,Closed,Chapter,"Iriondo, Martín H","Iriondo, Martín H ()",,"Iriondo, Martín H ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1130041337,,
510,pub.1130044568,10.1201/9781003079200-2,,,"Stratigraphy of the Quaternary piedmont deposits of the Río de Las Tunas Valley, Mendoza, Argentina",,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,31-40,Closed,Chapter,"Fernández, Benjamín L","Fernández, Benjamín L ()",,"Fernández, Benjamín L ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1130044568,,
510,pub.1124176806,10.12987/9780300216486-018,,,Bibliography,,,,,Strangers on Familiar Soil,,,2020-01-13,2020,2020-01-13,2020-12-31,,,253-308,Closed,Chapter,"Melillo, Edward Dallam","Melillo, Edward Dallam ()",,"Melillo, Edward Dallam ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1124176806,,
509,pub.1130044827,10.1201/9781003079200-1,,,Late Tertiary mammals of southern South America as indicators of climatic deterioration,,,,,Quaternary of South America and Antarctic Peninsula,Jorge Rabassa,,2020-08-26,2020,2020-08-26,,,,1-30,Closed,Chapter,"Pascual, Rosendo","Pascual, Rosendo ()",,"Pascual, Rosendo ()",2,1,,,,https://app.dimensions.ai/details/publication/pub.1130044827,,
494,pub.1169735096,10.1515/9781438478470-016,,,Implications for Leadership and Leading Transformational Change in Developing Countries,,,,,Transforming Higher Education in Asia and Africa,,,2020-03-01,2020,2020-03-01,,,,189-211,Closed,Chapter,"Hayward, Fred M.","Hayward, Fred M. ()",,"Hayward, Fred M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169735096,,
484,pub.1132972238,10.1515/9783110681437-015,,,M HISTORY OF MODERN AND CONTEMPORARY CULTURE,,,,,2016,Massimo Mastrogregori,,2020-11-19,2020,2020-11-19,2020-11-23,,,207-242,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1132972238,,
478,pub.1125320458,10.1007/978-3-030-42531-9_28,,,Hardening of Metal Matrix Composites with Ceramic Nanoparticles,"Abstract
The importance that in the last decades have acquired the composite materials of metallic matrix with reinforcements of nano ceramic particles, not only for their extraordinary mechanical properties, finding applications in different branches of industrial technology such as automotive, naval, aerospace and others. This work aims to show how the hardening of this type of materials depends on: the type of reinforcement, the size and its characteristics, the interaction of the dislocations with the defects, the process of obtaining these materials and the grain size of the matrix for the materials obtained by fusion or the particle size for those obtained by sintered compacting.",We would like to thank the Technical University of the North for sponsoring the development of this research.,,Communications in Computer and Information Science,Applied Technologies,"Miguel Botto-Tobar, Marcelo Zambrano Vizuete, Pablo Torres-Carrión, Sergio Montes León, Guillermo Pizarro Vásquez, Benjamin Durakovic",,2020-03-03,2020,2020-03-03,2020,1195,,346-358,Closed,Chapter,"Cardenas, Victor M.; Villarreal B., Carlos A.","Cardenas, Victor M. (Technical University of the North, Av 17 de Julio 5-21, Ibarra, Ecuador); Villarreal B., Carlos A. (Technical University of the North, Av 17 de Julio 5-21, Ibarra, Ecuador)","Cardenas, Victor M. (Technical University of the North, Av 17 de Julio 5-21, Ibarra, Ecuador)","Cardenas, Victor M. (Technical University of the North, Av 17 de Julio 5-21, Ibarra, Ecuador); Villarreal B., Carlos A. (Technical University of the North, Av 17 de Julio 5-21, Ibarra, Ecuador)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1125320458,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry; 40 Engineering; 4016 Materials Engineering,
472,pub.1127256753,10.4324/9780429020193-9,,,Black Consciousness,"This chapter provides an overview of the development of Black Consciousness in South Africa, its links to Pan Africanism and its legacy in the country. The author has opted for a long chronological approach and a discussion of Black Consciousness before and after the Black Consciousness Movement (1968–1977), to emphasise the time-depth and longevity of its ideas. The chapter also stresses the significance of anticolonial struggles in the region for informing Black historical consciousness, as well as the independence of African countries that had been gathering pace from 1960, the so-called ‘year of Africa’. It is against this backdrop that perhaps the most infamous regime of white supremacy of the latter half of the twentieth century, the apartheid state, stood. The principles of self-worth and pride in blackness that the Black Consciousness activists would articulate from 1970 onwards echoed earlier traditions of thought and struggles in the country.",,,,Routledge Handbook of Pan-Africanism,Reiland Rabaka,,2020-04-30,2020,2020-04-30,,,,136-146,Closed,Chapter,"Macqueen, Ian","Macqueen, Ian ()",,"Macqueen, Ian ()",1,0,,3.89,,https://app.dimensions.ai/details/publication/pub.1127256753,"44 Human Society; 47 Language, Communication and Culture; 4705 Literary Studies",
466,pub.1120477646,10.4018/978-1-5225-9829-9.ch011,,,Institutional Transformation and Stakeholders Engagement for Quality Management Model in African Higher Education,"The introduction of cooperative governance in the post-1994 South African higher education system brought complex stakeholder dynamics in the leadership and governance of university governing councils. A major concern of these changes was to institutionalize quality management systems. However, these changes brought its own complexities. Key features of this complexity revolved around cooperation and information sharing in the university governance in spite of ideological differences. Using the concept of culture developed from a multi-theoretical approach and data collected from institutional documents available in the public domain, interviews with members of the university council, and surveys of university staff, the chapter examines the extent of the relationship between public tolerance and different stakeholders involved in the university governance. This is with a view to recommend the need for effective governance and quality management system based on the professionalization of governance practices and institutionalized quality management processes.",,,Advances in Higher Education and Professional Development,Quality Management Implementation in Higher Education,"Michael Sony, Kochu Therisa Karingada, Neeta Baporikar",,2020,2020,,,,,217-239,Closed,Chapter,"Afolabi, Olugbemiga Samuel; Omal, Felix","Afolabi, Olugbemiga Samuel (University of Johannesburg, South Africa & Obafemi Awolowo University, Nigeria); Omal, Felix (University of Johannesburg, South Africa)",,"Afolabi, Olugbemiga Samuel (Obafemi Awolowo University); Omal, Felix (University of Johannesburg)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1120477646,"39 Education; 3902 Education Policy, Sociology and Philosophy; 3903 Education Systems","16 Peace, Justice and Strong Institutions"
458,pub.1169739396,10.1515/9781438478470-017,,,The Nature of Change and Transformation in Higher Education in Developing Countries,,,,,Transforming Higher Education in Asia and Africa,,,2020-03-01,2020,2020-03-01,,,,213-228,Closed,Chapter,"Hayward, Fred M.","Hayward, Fred M. ()",,"Hayward, Fred M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169739396,,
450,pub.1169736585,10.1515/9781438478470-020,,,Works Cited,,,,,Transforming Higher Education in Asia and Africa,,,2020-03-01,2020,2020-03-01,,,,257-268,Closed,Chapter,"Hayward, Fred M.","Hayward, Fred M. ()",,"Hayward, Fred M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1169736585,,
438,pub.1124146118,10.1016/b978-0-12-817680-1.00015-9,,,About the author,,,,,Magnetism and Spintronics in Carbon and Carbon Nanostructured Materials,,,2020,2020,,2020,,,xi,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1124146118,,
435,pub.1126029766,10.1007/978-3-319-95726-5_83,,,Promote Local Culture and Products,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,"Walter Leal Filho, Anabela Marisa Azul, Luciana Brandli, Pinar Gökçin özuyar, Tony Wall",,2020,2020,2022-04-16,2020,,,571-579,Closed,Chapter,"Thomas Muñoz, Rosalba","Thomas Muñoz, Rosalba (University Center for Social Research, School of Philosophy, University of Colima, Colima, Mexico)","Thomas Muñoz, Rosalba (University of Colima)","Thomas Muñoz, Rosalba (University of Colima)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029766,,
434,pub.1126029752,10.1007/978-3-319-95726-5_66,,,Prevention of Wastes: Concept and Its Implementation,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,"Walter Leal Filho, Anabela Marisa Azul, Luciana Brandli, Pinar Gökçin özuyar, Tony Wall",,2020,2020,2022-04-16,2020,,,561-571,Closed,Chapter,"Wahrlich, Júlia; Arcari da Silva, Flávia","Wahrlich, Júlia (Environmental and Sanitary Engineering, Campus: College of Agriculture and Veterinary Science, Santa Catarina State University, Lages, SC, Brazil); Arcari da Silva, Flávia (Environmental and Sanitary Engineering, Campus: College of Agriculture and Veterinary Science, Santa Catarina State University, Lages, SC, Brazil)","Wahrlich, Júlia (Universidade do Estado de Santa Catarina)","Wahrlich, Júlia (Universidade do Estado de Santa Catarina); Arcari da Silva, Flávia (Universidade do Estado de Santa Catarina)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029752,,
434,pub.1126029560,10.1007/978-3-319-95726-5_110,,,"Plastic Packaging, Recycling, and Sustainable Development",,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,"Walter Leal Filho, Anabela Marisa Azul, Luciana Brandli, Pinar Gökçin özuyar, Tony Wall",,2020,2020,2022-04-16,2020,,,544-551,Closed,Chapter,"Nasrollahi, Majid; Beynaghi, Ali; Mohamady, Farid Memariyan; Mozafari, Masoud","Nasrollahi, Majid (Faculty of Polymer Engineering and Color Technology, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran); Beynaghi, Ali (Office of Sustainability, Amirkabir University of Technology, Tehran, Iran); Mohamady, Farid Memariyan (Faculty of Polymer Engineering and Color Technology, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran); Mozafari, Masoud (Cellular and Molecular Research Center, Iran University of Medical Sciences, Tehran, Iran; Department of Tissue Engineering and Regenerative Medicine, Faculty of Advanced Technologies in Medicine, Iran University of Medical Sciences (IUMS), Tehran, Iran)","Nasrollahi, Majid (Amirkabir University of Technology)","Nasrollahi, Majid (Amirkabir University of Technology); Beynaghi, Ali (Amirkabir University of Technology); Mohamady, Farid Memariyan (Amirkabir University of Technology); Mozafari, Masoud (Iran University of Medical Sciences; Iran University of Medical Sciences)",7,4,,,,https://app.dimensions.ai/details/publication/pub.1126029560,,
433,pub.1126029670,10.1007/978-3-319-95726-5_300103,,,Perceived Behavioral Control,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,535-535,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029670,,
433,pub.1125995271,10.1007/978-3-319-95726-5_300102,,,Participation,,"This work was supported by the Coordination of Improvement of Higher Education Personnel (CAPES) and the Federal University of Technology – Paraná (UTFPR), Brazil.",,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,535-535,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1125995271,,
432,pub.1126029675,10.1007/978-3-319-95726-5_300108,,,Procurement,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,571-571,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029675,,
432,pub.1126029673,10.1007/978-3-319-95726-5_300106,,,Priority Substances,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,571-571,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029673,,
427,pub.1126029776,10.1007/978-3-319-95726-5_99,,,"Pollution Prevention and Control Strategies, Implications, and Challenges",,"This work was supported by the Coordination of Improvement of Higher Education Personnel (CAPES) and the Federal University of Technology – Paraná (UTFPR), Brazil.",,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,"Walter Leal Filho, Anabela Marisa Azul, Luciana Brandli, Pinar Gökçin özuyar, Tony Wall",,2020,2020,2022-04-16,2020,,,552-561,Closed,Chapter,"Salvador, Rodrigo; Barros, Murillo Vetroni","Salvador, Rodrigo (Sustainable Production Systems Laboratory (LESP), Federal University of Technology – Paraná (UTFPR), Ponta Grossa, PR, Brazil); Barros, Murillo Vetroni (Sustainable Production Systems Laboratory (LESP), Federal University of Technology – Paraná (UTFPR), Ponta Grossa, PR, Brazil)","Salvador, Rodrigo (Federal University of Technology – Paraná)","Salvador, Rodrigo (Federal University of Technology – Paraná); Barros, Murillo Vetroni (Federal University of Technology – Paraná)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029776,,
427,pub.1126029730,10.1007/978-3-319-95726-5_33,,,Perceived Consumer Effectiveness,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,"Walter Leal Filho, Anabela Marisa Azul, Luciana Brandli, Pinar Gökçin özuyar, Tony Wall",,2020,2020,2022-04-16,2020,,,535-544,Closed,Chapter,"Hanss, Daniel; Doran, Rouven","Hanss, Daniel (Department of Social Sciences, Hochschule Darmstadt – University of Applied Sciences, Darmstadt, Germany); Doran, Rouven (Department of Psychosocial Science, University of Bergen, Bergen, Norway)","Hanss, Daniel (Darmstadt University of Applied Sciences)","Hanss, Daniel (Darmstadt University of Applied Sciences); Doran, Rouven (University of Bergen)",17,5,,,,https://app.dimensions.ai/details/publication/pub.1126029730,,
427,pub.1126029672,10.1007/978-3-319-95726-5_300105,,,Precautionary Principle,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,561-561,Closed,Chapter,,,,,1,0,,,,https://app.dimensions.ai/details/publication/pub.1126029672,,
427,pub.1132794872,10.1515/9780822386650-007,,,"The End of History, Again? Pursuing the Past in the Postcolony",,,,,Postcolonial Studies and Beyond,"Ania Loomba, Suvir Kaul, Matti Bunzl, Antoinette Burton, Jed Esty",,2020-11-19,2020,2020-11-19,2020-12-31,,,125-144,Closed,Chapter,"Comaroff, Jean","Comaroff, Jean ()",,"Comaroff, Jean ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1132794872,,
426,pub.1126029674,10.1007/978-3-319-95726-5_300107,,,Proactive Management,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,571-571,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1126029674,,
426,pub.1126029671,10.1007/978-3-319-95726-5_300104,,,Plastics Recycling,,,,Encyclopedia of the UN Sustainable Development Goals,Responsible Consumption and Production,,,2020,2020,2022-04-16,2020,,,552-552,Closed,Chapter,,,,,1,0,,,,https://app.dimensions.ai/details/publication/pub.1126029671,,
417,pub.1128766809,10.1016/b978-0-12-820702-4.10000-5,,,Editors’ biography,,,,,Nanofabrication for Smart Nanosensor Applications,,,2020,2020,,2020,,,xix-xx,Closed,Chapter,,,,,0,0,,,,https://app.dimensions.ai/details/publication/pub.1128766809,,
416,pub.1123790812,10.1007/978-3-030-37221-7_23,,,Control of an Ankle Joint with Classic Control Techniques,"This article describes the process of designing four classic control strategies, for the control of tracking angular position during the marching phases humanof an ankle joint, which wasmodeled at the Northern Technical University insided the projects research biological signals of the Smart Systems Research Group, considerándoheait’sa moderate march type 1. First, it was necessary to obtain the model of the joint for which an identification of the dynamics was carried out, with the data obtained from the angular position during the march; creating, using software, a mathematical model that represents the simulated mechanical model. Subsequently, the control strategies that allowed to analyze the behavior of the joint were designed and after some modifications, which will be described, the one that best fits the objective was obtained control.",,,Advances in Intelligent Systems and Computing,"Technology, Sustainability and Educational Innovation (TSIE)","Andrea Basantes-Andrade, Miguel Naranjo-Toro, Marcelo Zambrano Vizuete, Miguel Botto-Tobar",,2020-01-03,2020,2020-01-03,2020,1110,,271-284,Closed,Chapter,"Iglesias, Iván; Tobar Subía, Luz María; Verdezoto, Gabriela A.; Alvarez, Daniel A.; Chamoro, Israel","Iglesias, Iván (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Tobar Subía, Luz María (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Verdezoto, Gabriela A. (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Alvarez, Daniel A. (); Chamoro, Israel (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador)","Iglesias, Iván (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador)","Iglesias, Iván (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Tobar Subía, Luz María (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Verdezoto, Gabriela A. (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador); Alvarez, Daniel A. (); Chamoro, Israel (Technical University of the North Faculty of Engineering in Applied Sciences, Ibarra, Ecuador)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1123790812,40 Engineering; 4010 Engineering Practice and Education; 46 Information and Computing Sciences,
411,pub.1133313851,10.1007/978-981-15-8783-2_33,,,"Fragility of Urban Systems Facing Flooding: Evaluation of Environmental and Social Risk in Antofagasta, Chile","Low- and middle-income countries are more exposed to climate change-related impacts than other countries. In Chile, the northern Atacama Desert is sensitive to changes induced by global warming, especially regarding precipitations. The very low level of annual precipitation experimented by this region makes that cities placed there are totally unprepared to face disruptive events, and climatological predictions show that the frequency of such events will increase, such as the intensity of the precipitations during the event. This chapter analyzes the case of the Antofagasta urban system, evaluating the environmental hazard, the social exposure, and the vulnerability to obtain a global risk evaluation of the system. Two neighborhoods exposed to flooding has been considered and studied by different ways, including climatological simulations, multiple criteria analysis, and interviews to assess risk perception of the inhabitants.",This work is part of a bachelor thesis developed by Eng. Paola Bravo at UCN Department of Environmental Engineering during 2018. Thanks also to the experts and the families that participated in the questionnaires.,,"Smart Innovation, Systems and Technologies",Sustainability in Energy and Buildings 2020,"John Littlewood, Robert J. Howlett, Lakhmi C. Jain",,2020-12-08,2020,2020-12-08,2021,203,,395-405,Closed,Chapter,"Bravo, Paola; Palme, Massimo; De Angelis, Gabriella","Bravo, Paola (Department of Geography, University of Sheffield, Sheffield, UK); Palme, Massimo (Universidad Católica del Norte, Escuela de Arquitectura, Antofagasta, Chile); De Angelis, Gabriella (Ministerio de Vivienda y Urbanismo, Comisión Reconstrucción y Reducción del Riesgo, Santiago de Chile, Chile)","Palme, Massimo (Catholic University of the North)","Bravo, Paola (University of Sheffield); Palme, Massimo (Catholic University of the North); De Angelis, Gabriella (Ministerio de Vivienda y Urbanismo, Comisión Reconstrucción y Reducción del Riesgo, Santiago de Chile, Chile)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1133313851,37 Earth Sciences; 3701 Atmospheric Sciences,13 Climate Action
405,pub.1123792097,10.1007/978-3-030-37221-7_37,,,Internet and Legislation on the Protection and Conservation of Cultural Heritage in Ecuador,"The safeguarding of cultural heritage is a fundamental duty of the Ecuadorian State, is enshrined in the Constitution of Ecuador and has an established legal and institutional framework. The Internet has become an essential ally for the protection, conservation and dissemination of cultural heritage. The fundamental purpose of this work is to identify in the network the relevant aspects and the theoretical-methodological approaches in the main instruments governing the protection of heritage in the country. Through the bibliographic review and content analysis, the main documents establishing policies on the preservation of the material and intangible cultural heritage have been examined and evaluated. In the context of the new trends in economic and tourist characterization of the heritage, this research criticized the legal regulations of a legal nature responsible for managing and preserving the assets via the Internet; it also contributes to the systematization and dissemination of these instruments.",,,Advances in Intelligent Systems and Computing,"Technology, Sustainability and Educational Innovation (TSIE)","Andrea Basantes-Andrade, Miguel Naranjo-Toro, Marcelo Zambrano Vizuete, Miguel Botto-Tobar",,2020-01-03,2020,2020-01-03,2020,1110,,445-453,Closed,Chapter,"Naranjo-Toro, Miguel; Leiva, Yenney Ricardo; Basantes-Andrade, Andrea; Jaramillo, Luis Chiliquinga; Vinueza, Ximena Naranjo","Naranjo-Toro, Miguel (Universidad Técnica del Norte, Av. 17 de Julio y José Córdoba 5-21, Ibarra, Ecuador); Leiva, Yenney Ricardo (Universidad Técnica del Norte, Av. 17 de Julio y José Córdoba 5-21, Ibarra, Ecuador); Basantes-Andrade, Andrea (Universidad Técnica del Norte, Av. 17 de Julio y José Córdoba 5-21, Ibarra, Ecuador); Jaramillo, Luis Chiliquinga (Universidad Técnica del Norte, Av. 17 de Julio y José Córdoba 5-21, Ibarra, Ecuador); Vinueza, Ximena Naranjo (Universidad Técnica del Norte, Av. 17 de Julio y José Córdoba 5-21, Ibarra, Ecuador)","Naranjo-Toro, Miguel (Universidad Técnica del Norte)","Naranjo-Toro, Miguel (Universidad Técnica del Norte); Leiva, Yenney Ricardo (Universidad Técnica del Norte); Basantes-Andrade, Andrea (Universidad Técnica del Norte); Jaramillo, Luis Chiliquinga (Universidad Técnica del Norte); Vinueza, Ximena Naranjo (Universidad Técnica del Norte)",1,0,,0.89,,https://app.dimensions.ai/details/publication/pub.1123792097,"43 History, Heritage and Archaeology; 4302 Heritage, Archive and Museum Studies",
396,pub.1129960635,10.1201/9781003069140-5,,,Taxonomy of Halophilic Bacteria,,,,,The Biology of HALOPHILIC BACTERIA,"Russell H. Vreeland, Lawrence I. Hochstein",,2020-08-18,2020,2020-08-18,,,,105-134,Closed,Chapter,"Vreeland, Russell H","Vreeland, Russell H ()",,"Vreeland, Russell H ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1129960635,,
